Climate_Factor,Impact_Finding,Key_Data_Result,Year,Source_(APA_Format)_and_Link,Section,Subsection,Pest_Type,Climate-Related_Risk,Yield_Loss_Potential,Region_Affected,Input_Category,Cost_Trend,Specific_Data,Key_Data_Result_numeric,Yield_Loss_Potential_numeric,Cost_Trend_numeric,Specific_Data_numeric,Dataset_Source,Technology_Innovation,Description,Implementation_Status,Program_Support_Type,Details,Financial_Material_Benefit,Training_Capacity_Building_Program,Focus_Area,Implementer,Environmental_Cost_Factor,Description_Data,Current_Status,Source_APA_Format_and_Link,Resource_Type,Efficiency_Indicator,Measurement_Approach,Environmental_Performance_Indicator,Indicator_Definition,Current_Status_Target,Technology_Initiative,Green_Accounting_Integration,Status,Program_Policy,Green_Accounting_Relevance,Environmental_Benefit,Green_Accounting_Environmental_Focus,Sustainability_Objective,Description_Data_numeric,Reference,URL,Category,Type,Row_Content,Raw_Data
,,,2024,,Green Accounting,technology_adoption_ga,,,,,,,,,,,,green_accounting,,,,,,,,,,,,,Climate Tracker Asia (2024). Resilient varieties. https://climatetracker.asia/as-el-nino-rages-farmers-turn-to-climate-resilient-rice-varieties/,,,,,,,Climate-Resilient Varieties,Adapted to climate stress; environmental adaptation value,Available and promoted for adoption,,,,,,,,,,,,
,,,2024-2025,,Green Accounting,technology_adoption_ga,,,,,,,,,,,,green_accounting,,,,,,,,,,,,,Department of Agriculture (2024). Mechanization. https://pia.gov.ph/das-rcef-program-boosts-rice-production-and-farmers-livelihoods/,,,,,,,Mechanization,"Improves efficiency, reduces labor, enables precision input application",RCEF-distributed; environmental impact via optimized resource use,,,,,,,,,,,,
,,,2025,,Green Accounting,government_support_ga,,,,,,,,,,,,green_accounting,,,,,,,,,,,,,Philippine Rice Research Institute (2025). RCEF extension. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,,,,,,,,,,RCEF Extended to 2031,Institutionalized long-term environmental investment,P30 billion annual for sustainability initiatives,,,,,,,,,
,,,2025,,Green Accounting,government_support_ga,,,,,,,,,,,,green_accounting,,,,,,,,,,,,,Philippine Rice Research Institute (2025). RCEF components. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,,,,,,,,,,Soil Health Improvement (RCEF),Direct environmental cost tracking and improvement,Improves long-term farm productivity and environmental health,,,,,,,,,
,,,2025,,Green Accounting,government_support_ga,,,,,,,,,,,,green_accounting,,,,,,,,,,,,,DA (2025). CSPM support. https://www.irri.org/news-and-events/news/da-bpi-da-philrice-and-irri-strengthen-climate-smart-pest-management-rice,,,,,,,,,,Pest Management Support (DA-PhilRice),Reduces pesticide costs and pollution,CSPM program with emissions reduction targets,,,,,,,,,
,,,2025,,Green Accounting,government_support_ga,,,,,,,,,,,,green_accounting,,,,,,,,,,,,,Philippine Rice Research Institute (2025). Water initiatives. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,,,,,,,,,,Water Resource Management (RCEF),Sustainable water tracking; environmental cost,Solar irrigation and water impounding projects,,,,,,,,,
,,,2025,,Green Accounting,government_support_ga,,,,,,,,,,,,green_accounting,,,,,,,,,,,,,Philippine Rice Research Institute (2025). RA 12078 framework. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,,,,,,,,,,RA 12078 Agricultural Tariffication Act,Policy framework for environmental sustainability,Legal basis for RCEF extension and environmental funding,,,,,,,,,
,,,2025,,Green Accounting,training_programs_ga,,,,,,,,,,,,green_accounting,,,,,,,Accountancy Student Environmental Awareness,,,,,,Agriam et al. (2025). Green accounting. https://journals.researchsynergypress.com/index.php/jgrcs/article/download/2638/1715/19672,,,,,,,,,,,,,Green accounting education and environmental practice awareness,Building accountants' competency in environmental cost tracking,,,,,,,
,,,2025,,Green Accounting,training_programs_ga,,,,,,,,,,,,green_accounting,,,,,,,CSPM Training,,,,,,DA (2025). CSPM training. https://www.irri.org/news-and-events/news/da-bpi-da-philrice-and-irri-strengthen-climate-smart-pest-management-rice,,,,,,,,,,,,,Environmental knowledge in climate-smart pest management,Equips farmers with practices reducing environmental costs,,,,,,,
,,,2024-2025,,Green Accounting,training_programs_ga,,,,,,,,,,,,green_accounting,,,,,,,Sustainable Farming Practices (RCEF),,,,,,Department of Agriculture (2024). RCEF training. https://pia.gov.ph/das-rcef-program-boosts-rice-production-and-farmers-livelihoods/,,,,,,,,,,,,,"Soil conservation, water management, resource efficiency",DA/PhilRice training integrated into RCEF programs,,,,,,,
,,,2024-2025,,Green Accounting,training_programs_ga,,,,,,,,,,,,green_accounting,,,,,,,Extension Services,,,,,,Department of Agriculture (2024). Extension services. https://www.pna.gov.ph/articles/1218736,,,,,,,,,,,,,Ongoing environmental best practices; field-level monitoring,DA extension guidance on sustainable resource use,,,,,,,
,,,2024-2025,,Green Accounting,training_programs_ga,,,,,,,,,,,,green_accounting,,,,,,,LGU Capacity Building,,,,,,Philippine Rice Research Institute (2025). LGU training. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,,,,,,,,,,,,,Local environmental program implementation and monitoring,Training on environmental indicators and RCEF guidelines,,,,,,,
,,,,,,,,,,,,,,,,,,references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agriam, J. L. S., Acebedo, J. R. U., Bado, J. I., Bejarin, A. B., & Bernal, K. B. (2025). Environmental practices and level of awareness in green accounting: A descriptive-correlational analysis among accountancy students. Journal of Governance Risk Management Compliance and Sustainability, 5(1), 2638.",https://journals.researchsynergypress.com/index.php/jgrcs/article/download/2638/1715/19672 GREEN ACCOUNTING AWARENESS,,,,
,,,,,,,,,,,,,,,,,,references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Climate Tracker Asia. (2024, April 4). As El Niño rages, farmers turn to climate-resilient rice varieties. Retrieved from",https://climatetracker.asia/as-el-nino-rages-farmers-turn-to-climate-resilient-rice-varieties/,s://climatetracker.asia/as-el-nino-rages-farmers-turn-to-climate-resilient-rice-varieties/ CLIMATE-RESILIENT VARIETIES,,,
,,,,,,,,,,,,,,,,,,references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate Transparency. (2020). Philippines: Climate change performance index report. Retrieved from,https://www.climate-transparency.org/wp-content/uploads/2021/01/Philippines-CT-2020.pdf,s://www.climate-transparency.org/wp-content/uploads/2021/01/Philippines-CT-2020.pdf EMISSIONS & 1.5°C PATHWAY,,,
,,,,,,,,,,,,,,,,,,references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Department of Agriculture - Bureau of Plant Industry. (2025, October 16). DA-BPI, DA-PhilRice, and IRRI strengthen climate-smart pest management in rice. International Rice Research Institute News. Retrieved from",https://www.irri.org/news-and-events/news/da-bpi-da-philrice-and-irri-strengthen-climate-smart-pest-management-rice,s://www.irri.org/news-and-events/news/da-bpi-da-philrice-and-irri-strengthen-climate-smart-pest-management-rice CLIMATE-SMART PEST MANAGEMENT,,,
